season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,toi_avg
2006,27.171264367816093,50.85287356321839,8.554022988505746,14.719540229885057,23.273563218390805,-0.39080459770114945,44.204597701149424,5.263218390804598,2.925287356321839,0.36551724137931035,1.2471264367816093,8.78735632183908,5.550574712643678,0.3816091954022989,84.7632183908046,824.2885057471265,0.0,0.0,0.0,0.0,0.0,7.945977011494253,0.13629724137931035,14.37206101010419
2007,26.993006993006993,51.57925407925408,8.254079254079254,14.372960372960373,22.627039627039625,-0.3927738927738928,39.25874125874126,5.495337995337995,2.4463869463869465,0.3123543123543124,1.2424242424242424,9.354312354312354,4.672494172494172,0.34615384615384615,84.81934731934732,841.974358974359,0.0,0.0,0.0,0.0,0.0,7.940559440559441,0.13052680652680648,14.503375124874236
2008,27.007042253521128,51.955399061032864,7.853286384976526,13.484741784037558,21.338028169014084,-0.38028169014084506,39.42370892018779,5.376760563380282,2.1960093896713615,0.2805164319248826,1.2605633802816902,9.032863849765258,4.139671361502347,0.31220657276995306,83.91549295774648,852.8356807511738,54.786384976525824,81.39084507042253,81.38967136150235,34.764084507042256,27.934507042253525,7.495305164319249,0.12346572769953033,14.801241383785735
2009,26.824858757062145,50.0090395480226,7.916384180790961,13.657627118644069,21.57401129943503,-0.3581920903954802,37.74689265536723,5.461016949152542,2.1898305084745764,0.2655367231638418,1.2101694915254237,9.219209039548023,4.138983050847457,0.2994350282485876,83.95254237288135,822.1661016949153,58.092655367231636,79.35141242937853,79.35141242937853,36.42485875706215,25.767344632768364,7.4711864406779664,0.12636101694915255,14.828367482075423
2010,26.725824800910125,50.36632536973834,7.739476678043231,13.329920364050057,21.06939704209329,-0.31285551763367464,35.0386803185438,5.629124004550626,1.8930602957906713,0.21729237770193402,1.1899886234357224,9.498293515358363,3.5972696245733786,0.23435722411831628,84.8316268486917,830.7235494880546,61.32423208191126,79.0250284414107,79.02389078498294,37.90557451649602,26.360068259385645,7.389078498293515,0.12295164960182012,14.725415130798176
2011,26.58361391694725,49.676767676767675,7.54320987654321,12.891133557800224,20.434343434343436,-0.32435465768799104,32.991021324354655,5.548821548821548,1.7631874298540966,0.23120089786756454,1.2132435465768798,9.305274971941639,3.351290684624018,0.2345679012345679,83.9023569023569,820.317620650954,62.656565656565654,79.79797979797979,79.79797979797979,39.07744107744108,26.60729517396183,7.252525252525253,0.12124792368125688,14.864142662438606
2012,26.58612975391499,49.52460850111857,7.319910514541387,12.526845637583893,19.84675615212528,-0.3098434004474273,30.156599552572708,5.538031319910514,1.574944071588367,0.20693512304250558,1.1733780760626398,9.332214765100671,2.9832214765100673,0.21140939597315436,81.85234899328859,819.2662192393736,62.55480984340045,79.23489932885906,79.23489932885906,38.90156599552573,27.345078299776294,7.489932885906041,0.11910917225950765,14.747855385896464
2013,26.75446960667461,30.891537544696067,4.554231227651966,7.827175208581645,12.381406436233611,-0.18951132300357568,19.475566150178786,3.4052443384982123,1.0381406436233611,0.11084624553039332,0.7425506555423123,5.750893921334923,1.9713945172824792,0.10488676996424315,50.01668653158522,510.4278903456496,40.841477949940405,51.12634088200238,51.12634088200238,24.549463647199048,26.28224076281286,7.5411203814064365,0.12272336114421928,15.279635722092866
2014,26.607223476297968,49.972911963882616,7.417607223476298,12.678329571106095,20.095936794582393,-0.30812641083521447,29.669300225733636,5.563205417607223,1.6264108352144468,0.22799097065462753,1.1873589164785554,9.311512415349886,3.110609480812641,0.2562076749435666,83.40067720090293,826.7539503386005,65.23476297968398,83.79458239277652,83.79458239277652,39.191873589164786,27.986230248307006,7.5835214446952595,0.12211444695259592,14.978114958997827
2015,26.524943310657598,50.197278911564624,7.425170068027211,12.748299319727892,20.1734693877551,-0.35147392290249435,26.32199546485261,5.6439909297052155,1.590702947845805,0.19047619047619047,1.2018140589569162,9.51814058956916,3.0306122448979593,0.19954648526077098,83.44104308390023,831.5442176870748,69.64625850340136,85.00340136054422,84.9920634920635,40.37981859410431,27.593310657596362,7.0895691609977325,0.11682426303854887,15.069579864101248
2016,26.256410256410255,49.30734966592428,7.310690423162583,12.239420935412026,19.55011135857461,-0.4354120267260579,25.972160356347437,5.508908685968819,1.5902004454342984,0.21158129175946547,1.2505567928730512,8.996659242761693,3.0122494432071267,0.23051224944320714,81.4532293986637,812.9175946547884,63.61804008908686,82.21826280623608,82.21826280623608,38.74721603563474,25.518930957683718,7.243875278396437,0.1179467706013361,14.979931678532225
2017,26.071025930101467,49.858108108108105,7.54954954954955,12.656531531531531,20.20608108108108,-0.4009009009009009,24.754504504504503,5.760135135135135,1.5822072072072073,0.2072072072072072,1.2736486486486487,9.431306306306306,3.02027027027027,0.20495495495495494,83.7072072072072,822.3963963963964,60.21283783783784,83.0822072072072,83.0822072072072,39.391891891891895,27.41959459459458,7.233108108108108,0.11998400900900898,14.995118740621459
2018,26.08202247191011,51.41123595505618,8.369662921348315,14.106741573033707,22.476404494382024,-0.4191011235955056,23.81573033707865,6.378651685393258,1.753932584269663,0.23707865168539327,1.3123595505617978,10.517977528089888,3.3550561797752807,0.23370786516853934,91.24831460674157,848.2044943820225,61.65056179775281,86.82921348314606,86.82921348314606,42.05280898876404,26.312359550561787,7.90561797752809,0.13687674157303378,15.090174711361916
2019,26.009933774834437,50.50220750551876,8.363134657836644,14.04635761589404,22.409492273730685,-0.5099337748344371,22.52207505518764,6.487858719646799,1.6181015452538632,0.2571743929359823,1.3068432671081678,10.701986754966887,3.073951434878587,0.2704194260485651,88.23289183222958,833.023178807947,62.72516556291391,82.78918322295806,82.78918322295806,40.02538631346578,0.26710596026490063,0.07864345536603007,0.13576280415771683,15.041380872762238
